hs_code,commodity,unit,country,2023-2024_jun_quantity,2023-2024_jun_value_000rs,2023-2024_cum_quantity,2023-2024_cum_value_000rs,2022-2023_jun_quantity,2022-2023_jun_value_000rs,2022-2023_cum_quantity,2022-2023_cum_value_000rs
01022190,OTH PURE BRED BREEDING ANIMALSNO,,ALL COUNTRIES,,,560,40639,,,,
01022190,OTH PURE BRED BREEDING ANIMALSNO,,United Arab Emirates,560,,,40639,,,,
01022990,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,40,3340,,,,
01022990,OTHER LIVE BOVINE ANIMALS,NO,United Arab Emirates,40,,,3340,,,,
01029000,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,1570,680,,,,
01029000,OTHER LIVE BOVINE ANIMALS,NO,Kuwait,1570,,,680,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,,,705000,20188,460000,8280,3732230,68328
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,675000,,,12150,460000,8280,3732230,68328
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Saudi Arabia,30000,,,8038,,,,
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,ALL COUNTRIES,,,,,800,713,1400,1345
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,Kuwait,,,,,800,713,1400,1345
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,ALL COUNTRIES,558800,18386,7984689,341501,172900,36686,6873305,1114326
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Afghanistan,7924496,18386,558800,328292,172900,36686,6872540,1112279
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Oman,145,,,294,,,765,2047
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Saudi Arabia,60048,,,12914,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,630,435,,,6000,577
01059900,OTH LIVE POULTRY,NO,Afghanistan,,,,,,,6000,577
01059900,OTH LIVE POULTRY,NO,Oman,630,,,435,,,,
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,860,599,,,,
01061400,RABBITS AND HARES,NO,Afghanistan,860,,,599,,,,
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,,,2244,1562,270,442,2697,4544
01063190,OTHER BIRDS OF PREY,NO,Kuwait,117,,,68,,,,
01063190,OTHER BIRDS OF PREY,NO,Oman,2127,,,1494,270,442,2697,4544
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,,,6610,1463,,,28905,10327
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Jordan,100,,,201,,,3830,2052
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,,,,,,2100,725
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Maldives,,,,,,,350,231
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,6510,,,1262,,,22625,7319
01063900,OTHER BIRDS,NO,ALL COUNTRIES,14850,5179,379075,134856,22128,8794,277416,97991
01063900,OTHER BIRDS,NO,Afghanistan,,,,,,,480,98
01063900,OTHER BIRDS,NO,Indonesia,6403,303,800,1757,,,,
01063900,OTHER BIRDS,NO,Jordan,45515,,,17984,4450,2094,75609,32197
01063900,OTHER BIRDS,NO,Kuwait,247688,4876,14050,88293,8385,3113,107136,33831
01063900,OTHER BIRDS,NO,Maldives,,,,,,,5530,2062
01063900,OTHER BIRDS,NO,Oman,74019,,,24470,9293,3587,88661,29804
01063900,OTHER BIRDS,NO,Turkey,5450,,,2353,,,,
01064100,BEES,NO,ALL COUNTRIES,2030,7086,26431,93916,105890,4871,906603,49441
01064100,BEES,NO,Afghanistan,26431,7086,2030,93916,105890,4871,903903,49137
01064100,BEES,NO,U.S.America,,,,,,,2500,282
01064100,BEES,NO,United Arab Emirates,,,,,,,200,22
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,,,58,60,,,3750,1388
01069000,OTHER LIVES ANIMALS,NO,Bahrain,,,,,,,2200,406
01069000,OTHER LIVES ANIMALS,NO,Kuwait,,,,,,,1550,983
01069000,OTHER LIVES ANIMALS,NO,Oman,58,,,60,,,,
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,ALL COUNTRIES,5607447,6959603,85254964,100559160,7187231,8273630,81380367,85883940
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Azerbaijan,14159,,,13522,,,,
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Bahrain,4329560,326590,254463,5095818,388194,446376,4314974,4232398
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Egypt(U.A.R.),,,,,1470,2196,1470,2196
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Hong Kong S.A.Re.Chi,,,,,,,1830,1403
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Jordan,,,,,,,12368,12583
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Kazakstan,2680938,151136,151135,1946368,,,,
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Kuwait,8693679,939445,639649,12802814,759111,1128918,9629012,12517950
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Kyrgyzstan/Kyrgyz R.,564851,1458,1458,315237,,,,
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Malaysia,,,,,,,135,204
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Oman,2952551,225650,201613,3154750,429185,444743,2790192,2608582
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Qatar,6962815,377101,319378,8121785,676066,805086,7527820,7699282
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Saudi Arabia,17696928,1326276,1049759,21770797,1178129,1417642,12864124,14163529
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,United Arab Emirates,41198678,3544484,2923507,47174660,3755076,4028669,43122648,43795302
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Uzbekistan,160805,67462,66485,163408,,,1115794,850512
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,ALL COUNTRIES,209166,230151,1500126,1517489,182433,140775,2476941,2337746
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Bahrain,15062,233,310,14255,340,166,393202,420000
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Iraq,,,,,,,5000,5244
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Kazakstan,200655,60777,67531,135648,89200,51120,346284,196439
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Kuwait,80688,6129,4450,81147,1445,1488,455904,513113
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Maldives,43974,8754,9000,40842,,,28242,26543
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Oman,19301,507,495,23101,353,370,4445,4480
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Qatar,56522,,,69056,,,6396,6339
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Saudi Arabia,682455,30499,31320,670139,67914,64029,535898,471243
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,United Arab Emirates,401469,123254,96060,483300,23181,23602,680570,670859
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Uzbekistan,,,,,,,21000,23487
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,ALL COUNTRIES,1828,2685,50833,70894,32088,39341,130473,136724
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Bahrain,,,,,,,25,20
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Jordan,,,,,,,6276,5804
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Malaysia,1450,,,2473,,,,
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Oman,142,,,219,,,1700,2236
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Qatar,,,,,,,950,1273
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Saudi Arabia,31934,2685,1828,46213,8022,11482,77598,78594
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,United Arab Emirates,17307,,,21989,3066,3861,13390,16762
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Uzbekistan,,,,,21000,23999,30534,32035
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,ALL COUNTRIES,293551,298050,5117054,5001011,234479,234626,1676859,1473210
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Oman,13464,13591,13394,13690,,,11313,7907
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Saudi Arabia,8116,,,6399,,,,
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,United Arab Emirates,584712,,,532280,,,1147,484
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Uzbekistan,4510762,284459,280157,4448642,234479,234626,1664399,1464820
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,ALL COUNTRIES,81154,84071,1360760,1430071,64374,62405,875557,728534
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Bahrain,44150,6276,4906,54815,,,,
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Kuwait,44245,,,38664,,,59120,44985
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Maldives,68017,,,81233,6990,8210,112101,93780
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Oman,14697,,,13917,,,59000,40842
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Qatar,23914,,,27739,,,43254,32417
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Saudi Arabia,1024562,77794,76248,1056052,57384,54195,480796,409284
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,United Arab Emirates,97452,,,108461,,,79574,63883
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Uzbekistan,43723,,,49190,,,41712,43343
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,ALL COUNTRIES,337000,420404,5361088,5343379,63414,61059,349245,303941
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,China,407000,99934,72000,537672,,,,
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Hong Kong S.A.Re.Chi,400,,,368,,,,
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Iraq,50455,,,38901,23253,18031,23253,18031
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Jordan,,,,,,,4200,7134
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Kazakstan,37000,,,18162,,,,
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Malaysia,,,,,,,28494,39693
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Maldives,,,,,,,720,587
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Oman,30,,,33,,,3630,2621
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Saudi Arabia,207974,,,213836,,,26269,19492
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Thailand,13100,,,13672,12800,12516,81900,72978
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,United Arab Emirates,3764368,297091,209000,3979313,,,3250,3584
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Uzbekistan,238779,,,236428,27361,30511,121529,120940
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Viet Nam,641982,23379,56000,304995,,,56000,18879
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,ALL COUNTRIES,579594,1332851,9005969,20529112,695965,1564951,5222250,10753543
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,Bahrain,330250,52011,22089,749442,23022,51411,295730,599603
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,Jordan,,,,,,,28,59
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,Kuwait,43079,6540,2734,105151,2066,5093,68100,144896
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,Oman,128275,33915,15442,284141,7899,17358,79391,156364
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,Qatar,980256,161630,70400,2319060,63255,151822,775572,1612952
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,Saudi Arabia,5787034,827745,357726,13186239,433029,972723,2429757,5088580
02041000,CARCASSES OF LAMB FRESH/CHILL KG,,United Arab Emirates,1737075,251010,111203,3885078,166694,366545,1573672,3151090
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,ALL COUNTRIES,82929,190780,1521247,3496883,81361,185849,639020,1347147
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,Bahrain,8560,,,19354,668,1493,11728,24744
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,Kuwait,158390,11582,4840,386557,9106,22366,107347,237270
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,Oman,61932,,,139998,11680,26386,109114,219992
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,Qatar,40511,3950,1690,95290,5542,12626,65054,125571
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,Saudi Arabia,1236569,167093,72847,2820923,54365,122978,312315,677317
02042100,"CARCASSES OF SHEEP,FR/CHILLED KG",,United Arab Emirates,15285,8155,3552,34761,,,33462,62253
02042200,"O,CUTS OF SHEEP,FR/CHI BONE IN",KG,ALL COUNTRIES,,,4613,8670,15800,25143,18770,29408
02042200,"O,CUTS OF SHEEP,FR/CHI BONE IN",KG,Maldives,561,,,1065,,,2970,4264
02042200,"O,CUTS OF SHEEP,FR/CHI BONE IN",KG,Saudi Arabia,4036,,,7570,15800,25143,15800,25143
02042200,"O,CUTS OF SHEEP,FR/CHI BONE IN",KG,United Arab Emirates,16,,,36,,,,
02043000,"CARCASSES OF LAMB,FROZEN",KG,ALL COUNTRIES,,,4561,9480,1796,4434,8069,19784
02043000,"CARCASSES OF LAMB,FROZEN",KG,Kuwait,1219,,,2407,1796,4434,8049,19748
02043000,"CARCASSES OF LAMB,FROZEN",KG,Oman,,,,,,,20,35
02043000,"CARCASSES OF LAMB,FROZEN",KG,Saudi Arabia,87,,,201,,,,
02043000,"CARCASSES OF LAMB,FROZEN",KG,United Arab Emirates,3255,,,6873,,,,
02044100,"CARCASSES OF SHEEP,FROZEN",KG,ALL COUNTRIES,,,1011,2180,,,3455,5736
02044100,"CARCASSES OF SHEEP,FROZEN",KG,Saudi Arabia,,,,,,,3455,5736
02044100,"CARCASSES OF SHEEP,FROZEN",KG,United Arab Emirates,1011,,,2180,,,,
02044200,OTH CUTS OF SHEEP FROZ BONE IN KG,,ALL COUNTRIES,,,1250,3042,360,692,30597,51185
02044200,OTH CUTS OF SHEEP FROZ BONE IN KG,,Maldives,1250,,,3042,,,2494,4530
02044200,OTH CUTS OF SHEEP FROZ BONE IN KG,,Oman,,,,,,,1080,1772
02044200,OTH CUTS OF SHEEP FROZ BONE IN KG,,Qatar,,,,,,,9846,16220
02044200,OTH CUTS OF SHEEP FROZ BONE IN KG,,Saudi Arabia,,,,,360,692,17177,28664
02044300,OTH MEAT OF SHEEP FROZ BONELESKG,,ALL COUNTRIES,,,,,,,540,1113
02044300,OTH MEAT OF SHEEP FROZ BONELESKG,,Saudi Arabia,,,,,,,540,1113
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,ALL COUNTRIES,8914,21046,187169,409997,7105,16297,102715,207909
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,Bahrain,90669,6786,2772,207636,4471,10242,36111,78225
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,Kuwait,294,,,652,196,450,8102,15893
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,Maldives,,,,,,,1206,1482
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,Oman,4103,474,198,9297,98,225,1858,3674
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,Qatar,2075,,,4851,,,1200,2722
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,Saudi Arabia,3359,,,7712,625,1450,7886,13157
02045000,MEAT OF GOATS FRESH/CHILL/FROZKG,,United Arab Emirates,86669,13786,5944,179848,1715,3929,46352,92756
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,ALL COUNTRIES,213419,229990,2765527,1853753,198142,126650,1393326,886978
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Bahrain,4418,142,300,3083,,,3884,1530
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Hong Kong S.A.Re.Chi,439153,,,283212,140000,94176,565005,357581
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Kuwait,153158,6694,7971,126732,13851,9926,152940,91304
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Maldives,7006,,,6359,6481,2968,12116,6584
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Oman,23044,819,941,18502,3682,2372,31948,15973
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Qatar,268684,12966,15534,213989,18428,9984,280467,133409
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Saudi Arabia,,,,,,,2110,2476
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Thailand,,,,,15700,7225,92100,36690
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,United Arab Emirates,6934,2462,3398,4746,,,1000,405
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Uzbekistan,21296,5850,5760,21772,,,55740,36938
02061000,EDIBLE OFFAL OF BOV ANIMAL F/C,KG,Viet Nam,1841834,201057,179515,1175358,,,196016,204086
02062100,"TONGUES OF BOV ANIMALS,FROZENKG",,ALL COUNTRIES,,,4240,1882,1500,1562,9070,7025
02062100,"TONGUES OF BOV ANIMALS,FROZENKG",,Uzbekistan,,,,,1500,1562,9070,7025
02062100,"TONGUES OF BOV ANIMALS,FROZENKG",,Viet Nam,4240,,,1882,,,,
02062200,LIVERS OF BOV ANIMALS FROZEN,KG,ALL COUNTRIES,4015,3408,33559,27810,,,12189,9158
02062200,LIVERS OF BOV ANIMALS FROZEN,KG,Kuwait,18404,3027,3585,15825,,,5518,4335
02062200,LIVERS OF BOV ANIMALS FROZEN,KG,Oman,435,,,446,,,1040,791
02062200,LIVERS OF BOV ANIMALS FROZEN,KG,Qatar,11592,192,230,9200,,,5631,4033
02062200,LIVERS OF BOV ANIMALS FROZEN,KG,United Arab Emirates,3128,189,200,2339,,,,
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,ALL COUNTRIES,215592,127199,3197364,1978527,61158,26631,1697785,985219
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Cambodia Fr.Kampuche,,,,,,,26000,18489
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Ghana,,,,,,,26200,5938
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Hong Kong S.A.Re.Chi,917645,,,514295,9426,4066,888143,499128
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Italy,250,,,574,,,,
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Kuwait,3325,145,247,2457,,,1674,1330
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Morocco,22080,,,26053,,,,
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Oman,964,127,214,890,,,1197,914
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Poland,5000,,,12310,,,,
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Qatar,10832,2676,4536,9669,22210,8272,33286,19566
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Romania,,,,,,,10450,10176
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Saudi Arabia,,,,,,,14113,26110
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Thailand,15400,,,7563,,,39500,11193
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,United Arab Emirates,20194,252,427,8587,,,30000,20280
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Uzbekistan,,,,,110,25,110,25
02062900,"O, EDIBLE OFFAL BOV ANI FROZEN",KG,Viet Nam,2201674,123999,210168,1396128,29412,14267,627112,372069
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,ALL COUNTRIES,,,65479,45782,5156,4538,70356,47682
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Bahrain,285,,,222,310,240,6190,3494
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Kuwait,5087,,,5668,490,416,3557,2639
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Malaysia,20000,,,1463,,,,
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Oman,2421,,,2535,498,387,4822,3042
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Qatar,14736,,,16389,3858,3495,29235,21894
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Romania,,,,,,,22222,11314
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Saudi Arabia,22750,,,19219,,,2270,4024
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,United Arab Emirates,200,,,285,,,60,22
02068000,OTH EDIBLE OFFAL OF ANIM FR/CH KG,,Uzbekistan,,,,,,,2000,1253
02069000,OTH EDIBLE OFFAL OF ANIM FROZN KG,,ALL COUNTRIES,,,3649,4112,,,30,21
02069000,OTH EDIBLE OFFAL OF ANIM FROZN KG,,Bahrain,70,,,78,,,,
02069000,OTH EDIBLE OFFAL OF ANIM FROZN KG,,Kuwait,884,,,994,,,30,21
02069000,OTH EDIBLE OFFAL OF ANIM FROZN KG,,Oman,100,,,112,,,,
02069000,OTH EDIBLE OFFAL OF ANIM FROZN KG,,Qatar,2555,,,2871,,,,
02069000,OTH EDIBLE OFFAL OF ANIM FROZN KG,,United Arab Emirates,40,,,56,,,,
02071100,MEAT OF FOWLS OF SPE GOLL F/CH KG,,ALL COUNTRIES,,,16478,21218,,,4292,5194
02071100,MEAT OF FOWLS OF SPE GOLL F/CH KG,,Qatar,16478,,,21218,,,4292,5194
02071200,MEAT OF FOWL OF SPE GALLU FROZKG,,ALL COUNTRIES,,,20000,16680,,,,
02071200,MEAT OF FOWL OF SPE GALLU FROZKG,,Qatar,20000,,,16680,,,,
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,ALL COUNTRIES,202000,14101,6434910,536553,690924,73213,2486533,235830
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,Hong Kong S.A.Re.Chi,1231855,5833,87000,114796,77420,15872,249449,29164
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,Kazakstan,,,,,,,22000,3038
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,Maldives,2000,,,1284,,,,
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,Thailand,789300,6251,87000,68353,,,95440,9282
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,United Arab Emirates,,,,,,,25080,2247
02071400,CUTS & OFFAL OF FOWLS FROZEN,KG,Viet Nam,4411755,2017,28000,352120,613504,57341,2094564,192100
02074500,OTH DUCK MEAT FROZEN,KG,ALL COUNTRIES,,,92045,37784,,,80950,34562
02074500,OTH DUCK MEAT FROZEN,KG,Hong Kong S.A.Re.Chi,10202,,,3551,,,53950,23080
02074500,OTH DUCK MEAT FROZEN,KG,Viet Nam,81843,,,34233,,,27000,11482
02075500,OTH GEESE MEAT FROZEN,KG,ALL COUNTRIES,,,,,,,15045,16937
02075500,OTH GEESE MEAT FROZEN,KG,Hong Kong S.A.Re.Chi,,,,,,,15045,16937
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,ALL COUNTRIES,13878,19440,465494,655159,39004,55443,680453,781377
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,Bahrain,8480,985,590,11773,,,8355,9334
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,Kuwait,167378,10285,6724,261758,11387,17937,258801,326990
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,Maldives,708,,,1003,760,1190,2228,2441
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,Oman,273588,7433,5934,360161,25808,34954,335403,357817
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,Qatar,14556,736,630,19335,1048,1361,6006,6886
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,Saudi Arabia,,,,,,,68661,76422
02086000,MEAT/OFFAL OF CAMELS FR/CH/FZ,KG,United Arab Emirates,784,,,1129,1,2,999,1487
02102000,OTH MEAT BOV ANIM DRIED/SMOKEDKG,,ALL COUNTRIES,56000,23346,365000,153442,,,3320,1695
02102000,OTH MEAT BOV ANIM DRIED/SMOKEDKG,,Kuwait,,,,,,,2800,1180
02102000,OTH MEAT BOV ANIM DRIED/SMOKEDKG,,Saudi Arabia,,,,,,,520,514
02102000,OTH MEAT BOV ANIM DRIED/SMOKEDKG,,Viet Nam,365000,23346,56000,153442,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,ALL COUNTRIES,,,2479982,1239577,380605,312838,3121957,1667652
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Albania,16500,,,9025,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Azerbaijan,,,,,,,11615,4893
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Hong Kong S.A.Re.Chi,383055,,,237262,209605,115274,2637202,1297401
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Hungary,3000,,,2627,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Italy,211650,,,22049,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Maldives,504,,,285,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Portugal,,,,,,,18071,13390
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Qatar,6000,,,4689,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Romania,,,,,,,24850,18204
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Thailand,20820,,,12044,,,15000,8938
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Tunisia,3600,,,1997,,,,
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,U.S.America,2000,,,3426,,,2940,1876
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,United Arab Emirates,12400,,,4996,,,1700,450
02109900,OTH EDI FLOUR/MEAL OF MEAT/OFL KG,,Viet Nam,1820453,,,941176,171000,197564,410579,322502
03011100,ORNAMENTAL FISH RFRESHWATER KG,,ALL COUNTRIES,,,201189,175122,,,270068,166795
03011100,ORNAMENTAL FISH RFRESHWATER KG,,Afghanistan,,,,,,,68920,1046
03011100,ORNAMENTAL FISH RFRESHWATER KG,,Bahrain,8767,,,6618,,,,
03011100,ORNAMENTAL FISH RFRESHWATER KG,,Kuwait,,,,,,,13850,12105
03011100,ORNAMENTAL FISH RFRESHWATER KG,,Qatar,23344,,,17920,,,,
03011100,ORNAMENTAL FISH RFRESHWATER KG,,Singapore,17955,,,14846,,,28490,20178
03011100,ORNAMENTAL FISH RFRESHWATER KG,,Thailand,19250,,,12943,,,40681,34821
03011100,ORNAMENTAL FISH RFRESHWATER KG,,U.S.America,,,,,,,19560,33762
03011100,ORNAMENTAL FISH RFRESHWATER KG,,United Arab Emirates,38094,,,25911,,,98567,64884
03011100,ORNAMENTAL FISH RFRESHWATER KG,,United Kingdom,93779,,,96884,,,,
03011900,OTHER ORNAMENTAL FISH,KG,ALL COUNTRIES,19052,9486,174752,80429,,,,
03011900,OTHER ORNAMENTAL FISH,KG,China,253,,,105,,,,
